"Apps","Mins","Mins.Gm","Height","Weight","Age","Av.Rat","Gls","Gls.90","Shot..","xG","Ch.C.90","Asts.90","K.Ps.90","Pas..","Cr.C.A","Drb.90","Distance","Hdr..","K.Tck","Fls","PoM","Aer.A.90","Off","Tck.R","CA","Gls.xG","Dist.Mins","Value","Lower.Transfer.Value","Upper.Transfer.Value"
16,1440,90,184,83,24,6.93,2,0.12,0.44,0.9,0,0,0,0.97,1,0,161.3,0.81,3,6,2,14.19,0,0.6,112,2.22222222222222,0.112013888888889,83000,16000,150000
15,1292,86.1333333333333,184,81,22,6.75,0,0,0.2,0.49,0.07,0,0.21,0.87,0,0.07,121.9,0.86,1,11,0,14.7,0,0.86,90,0,0.0943498452012384,5500,1000,10000
12,1110,92.5,188,85,21,7.25,1,0.08,0.22,1.3,0.84,0.16,0.73,0.92,0.5,0.16,146.4,0.75,0,9,2,5.59,0,0.77,101,0.769230769230769,0.131891891891892,60000,0,120000
11,990,90,170,67,31,6.98,1,0.09,0.11,2.76,1.22,0.18,1.09,0.94,0.16,0.82,137.3,0.73,1,22,1,8.18,2,0.77,93,0.36231884057971,0.138686868686869,90000,40000,140000
15,1320,88,181,75,29,7.47,3,0.2,0.38,1.02,0.22,0.2,1.43,0.9,0.26,0.07,193,0.7,0,16,1,6.41,1,0.77,93,2.94117647058824,0.146212121212121,138000,26000,250000
14,1260,90,190,79,28,7.02,0,0,0,0,0,0,0.21,0.44,0,0,87.2,0,0,1,4,0,0,0,112,0,0.0692063492063492,990000,180000,1800000
15,1252,83.4666666666667,179,71,32,7.27,1,0.07,0.27,1.53,0.31,0.22,1.73,0.88,0.38,2.44,179.5,0.62,1,27,0,7.48,4,0.68,90,0.65359477124183,0.143370607028754,24750,4500,45000
16,1440,90,188,82,23,6.87,0,0,0.13,1.11,0.06,0,0.19,0.9,0,0.06,169.1,0.82,0,16,0,16.62,2,0.7,81,0,0.117430555555556,4500,2000,7000
15,1264,84.2666666666667,188,83,24,7.09,5,0.36,0.25,2.5,0.08,0.14,0.36,0.93,0,0.14,140.7,0.84,0,12,1,12.32,0,0.92,91,2,0.11131329113924,15000,0,30000
11,828,75.2727272727273,189,82,24,7.22,3,0.33,0.5,1.05,0.26,0.11,1.2,0.91,0.2,0.87,111.1,0.78,0,24,1,7.07,1,0.78,95,2.85714285714286,0.134178743961353,72500,35000,110000
13,1018,78.3076923076923,183,72,25,6.8,1,0.09,0.25,0.78,0.53,0,1.5,0.89,0.12,0.09,128.2,0.78,0,16,0,6.37,1,0.75,99,1.28205128205128,0.125933202357564,36500,18000,55000
11,990,90,184,75,27,6.98,0,0,0.13,2.44,0.11,0.09,1.09,0.94,0.16,0.36,139.1,0.79,2,11,1,9.45,1,0.9,94,0,0.14050505050505,32500,0,65000
16,1440,90,196,105,28,7.39,0,0,0.14,2.74,0.06,0.19,1.06,0.92,0.09,0.44,190.4,0.86,3,19,2,10.88,2,0.94,92,0,0.132222222222222,6500,1000,12000
11,990,90,184,75,21,6.74,0,0,0,0,0,0,0.45,0.41,0,0,57.2,0,0,1,0,0,0,0.5,88,0,0.0577777777777778,212500,1e+05,325000
13,1170,90,190,75,27,6.88,0,0,0.17,0.64,0.11,0,0,0.92,1,0.15,138.5,0.78,2,20,1,14.77,3,0.91,103,0,0.118376068376068,38500,7000,70000
11,913,83,164,57,23,6.91,1,0.1,0.27,1.85,0.1,0,2.17,0.9,0.18,2.27,140.1,0.51,0,13,0,7.39,5,0.94,92,0.54054054054054,0.153450164293538,302500,55000,550000
19,1580,83.1578947368421,172,65,22,7.12,1,0.06,0.35,1.77,2.03,0.28,1.65,0.88,0.25,0.4,224.1,0.55,1,10,1,2.79,0,0.93,157,0.564971751412429,0.141835443037975,121000,22000,220000
19,1580,83.1578947368421,172,65,22,7.12,1,0.06,0.35,1.77,2.03,0.28,1.65,0.88,0.25,0.4,224.1,0.55,1,10,1,2.79,0,0.93,157,0.564971751412429,0.141835443037975,4.3e+07,3.2e+07,5.4e+07
11,990,90,190,83,28,7.09,0,0,0,0,0,0,0,0.46,0,0,60,0,0,0,2,0,0,1,101,0,0.0606060606060606,19250,3500,35000
17,1443,84.8823529411765,178,74,24,6.82,2,0.12,0.58,0.91,0.14,0,0.62,0.91,0.16,0.06,198.9,0.7,1,6,1,4.74,0,0.69,106,2.1978021978022,0.137837837837838,115000,20000,210000
13,1152,88.6153846153846,183,80,23,6.95,2,0.16,0.54,1.04,1.39,0,0.47,0.89,0.4,0.55,164.9,0.78,0,26,0,2.89,2,0.83,101,1.92307692307692,0.143142361111111,94000,18000,170000
16,1449,90.5625,185,80,35,7.1,1,0.06,0.29,0.56,0,0,0,0.74,1,0,19.6,1,0,37,0,2.11,0,0.86,89,1.78571428571429,0.0135265700483092,15000,0,30000
11,902,82,187,80,24,7.17,0,0,0.33,0.67,0.55,0.2,0.5,0.94,0,0.2,97.5,0.8,1,17,0,12.57,1,1,113,0,0.108093126385809,2300000,1400000,3200000
11,944,85.8181818181818,193,78,35,6.85,0,0,0,0,0,0,0.1,0.45,0,0,58.9,0,0,2,0,0,0,0,103,0,0.0623940677966102,11000,2000,20000
14,1231,87.9285714285714,178,70,28,7.14,4,0.29,0.62,1.12,0.47,0.07,1.17,0.9,0.3,2.71,179.5,0.66,0,16,2,5.63,4,0.79,96,3.57142857142857,0.145816409423233,192500,35000,350000
14,1260,90,189,78,22,7,0,0,0,0,0,0,0.21,0.4,0,0,67.3,0,0,0,1,0,0,0,93,0,0.0534126984126984,35000,0,70000
11,977,88.8181818181818,182,80,23,6.82,0,0,0.2,0.56,1.25,0.28,0.74,0.94,0.25,0.09,140.2,0.73,0,15,0,4.15,0,0.76,100,0,0.143500511770727,94000,18000,170000
11,856,77.8181818181818,185,82,26,6.64,0,0,0.2,0.45,0.91,0,0.84,0.94,0,0,102.4,0.77,0,14,0,8.73,0,0.82,96,0,0.119626168224299,72500,35000,110000
12,1080,90,194,86,24,6.78,0,0,0.25,0.4,0,0,0,0.92,0,0.17,124,0.85,0,19,0,17.08,2,0.88,99,0,0.114814814814815,22000,4000,40000
13,1131,87,191,84,24,6.88,0,0,0,0,0,0,0.16,0.49,0,0,75.9,0,0,0,1,0,0,0,89,0,0.0671087533156499,22500,0,45000
12,1080,90,192,78,23,7.1,0,0,0,0.64,0,0,0.25,0.98,0.33,0.08,129.1,0.87,4,5,1,14.42,0,0.73,114,0,0.119537037037037,1100000,5e+05,1700000
11,990,90,184,75,24,7.01,1,0.09,0.18,0.8,0.11,0,0.09,0.9,0,0,117.3,0.81,3,6,0,17.18,0,0.73,94,1.25,0.118484848484848,177500,80000,275000
13,941,72.3846153846154,178,70,29,6.9,0,0,0.44,1.26,0.13,0,1.63,0.92,0.12,0.57,131.8,0.61,0,9,0,5.16,1,0.81,107,0,0.140063761955367,55000,10000,1e+05
15,1350,90,190,84,23,6.95,0,0,0.22,1.02,0.22,0,0.2,0.92,0.5,0,158.8,0.74,5,14,0,18.6,2,0.93,98,0,0.11762962962963,260000,120000,4e+05
17,1494,87.8823529411765,183,74,25,7.49,2,0.12,0.12,0.3,0.35,0.36,0.24,0.78,0.18,0.06,21.1,0.38,0,21,3,0.48,1,0.79,90,6.66666666666667,0.0141231593038822,121000,22000,220000
11,939,85.3636363636364,173,81,26,6.79,0,0,0.1,1.5,0.19,0,1.05,0.94,0.22,1.44,126.5,0.9,1,15,0,7.86,3,0.94,98,0,0.134717784877529,66000,12000,120000
11,833,75.7272727272727,185,95,24,6.98,4,0.43,0.42,1.71,0,0,0.11,0.94,0,0.11,84.4,0.73,0,3,1,18.91,1,0.8,94,2.33918128654971,0.101320528211285,165000,30000,3e+05
14,1178,84.1428571428571,193,92,27,7.34,1,0.08,0.25,1.22,0,0,0.38,0.95,0,0,140.8,0.8,6,6,2,14.06,0,0.68,105,0.819672131147541,0.119524617996604,85000,40000,130000
11,1198,108.909090909091,186,80,25,6.58,0,0,0.44,0.64,0.15,0,0.15,0.85,0,0.08,93.6,0.7,0,10,0,9.17,0,1,105,0,0.0781302170283806,83000,16000,150000
21,2026,96.4761904761905,196,80,24,6.54,0,0,0,0,0,0,0.09,0.39,0,0,97.8,0,0,0,1,0,0,0.25,98,0,0.0482724580454097,25000,0,50000
11,990,90,168,70,29,7.15,3,0.27,0.5,0.92,0.09,0.09,1.18,0.88,0.26,3.09,142.9,0.49,0,18,1,7.36,8,0.82,93,3.26086956521739,0.144343434343434,177500,80000,275000
12,756,63,190,81,21,6.47,0,0,0,0,0,0,1.55,0.94,0.13,1.07,96.8,0.7,1,24,0,7.5,2,0.94,107,0,0.128042328042328,715000,130000,1300000
13,1165,89.6153846153846,186,81,22,7.67,1,0.08,0.2,0.01,0,0,0,0.8,0,0,29.4,0.84,1,14,0,3.4,0,1,116,100,0.0252360515021459,990000,180000,1800000
12,1074,89.5,183,71,21,6.84,1,0.08,0.32,2.66,0.49,0.17,1.34,0.88,0.25,0.42,154.9,0.71,0,13,0,6.03,1,0.71,94,0.37593984962406,0.144227188081937,138000,26000,250000
12,1080,90,186,81,26,8.17,0,0,0,0.66,0,0.33,0.08,0.78,0,0,18.6,0.69,0,10,2,3.25,0,0.93,93,0,0.0172222222222222,165000,30000,3e+05
14,1170,83.5714285714286,185,77,32,7.06,0,0,0.3,0.93,0.17,0.08,0.38,0.94,0,0,126.7,0.71,1,8,0,14.23,1,0.78,87,0,0.108290598290598,1250,0,2500
16,1069,66.8125,180,72,29,6.93,4,0.34,0.47,2.31,0.34,0.25,1.68,0.87,0.18,0.42,137.8,0.71,0,15,1,5.56,2,0.95,93,1.73160173160173,0.128905519176801,27500,0,55000
13,977,75.1538461538462,178,75,25,7.05,3,0.28,0.42,0.97,0.64,0.28,1.47,0.86,0.45,0.46,121.1,0.69,0,14,1,4.7,1,0.91,97,3.09278350515464,0.123950870010235,177500,30000,325000
14,1260,90,181,73,30,6.74,0,0,0,0.27,0.29,0.07,1.64,0.89,0.24,1.36,199.2,0.76,2,29,0,7.86,7,0.79,82,0,0.158095238095238,15000,0,30000
12,995,82.9166666666667,186,82,21,7.15,0,0,0.14,0.55,0.2,0.09,0.36,0.92,0,0,115.5,0.86,2,3,0,17.73,0,0.73,97,0,0.11608040201005,605000,110000,1100000
15,1350,90,181,73,33,7.55,1,0.07,0.29,1.08,0.29,0,0.13,0.79,0.2,0.07,21.9,0.88,0,13,2,1.07,0,1,86,0.925925925925926,0.0162222222222222,40000,0,80000
19,1710,90,194,88,23,6.89,0,0,0,0,0,0,0.05,0.67,0,0,79.6,0,0,0,1,0,0,0.2,115,0,0.0465497076023392,880000,160000,1600000
12,861,71.75,174,64,26,6.75,1,0.1,0.25,0.68,0.31,0,1.46,0.89,0.45,0.31,119.2,0.74,0,19,0,4.49,1,0.71,96,1.47058823529412,0.138443670150987,550000,1e+05,1e+06
11,1016,92.3636363636364,185,80,23,6.77,0,0,0.25,0.2,0,0,0.18,0.86,0,0,116.5,0.86,0,11,0,13.46,0,1,111,0,0.114665354330709,660000,120000,1200000
14,1156,82.5714285714286,192,83,21,6.62,0,0,0.33,0.81,0.08,0,0.16,0.95,0,0,128.4,0.8,5,14,0,14.17,1,0.78,105,0,0.111072664359862,880000,160000,1600000
11,975,88.6363636363636,177,77,24,7.25,2,0.18,0.2,4.19,2.34,0.09,0.92,0.92,0.07,0.46,143.1,0.7,3,8,1,8.12,2,0.91,94,0.477326968973747,0.146769230769231,232500,40000,425000
14,1196,85.4285714285714,193,84,29,7.37,2,0.15,0.22,0.22,0.15,0,0,0.86,0,0.08,43.7,0.82,1,17,0,5.12,0,0.93,98,9.09090909090909,0.0365384615384615,37500,0,75000
17,1538,90.4705882352941,191,81,28,7.31,4,0.23,0.38,3.98,0,0.06,0.06,0.99,1,0,172.1,0.91,3,8,2,14.69,1,0.91,119,1.00502512562814,0.111898569570871,825000,150000,1500000
15,1266,84.4,186,82,26,6.99,1,0.07,0.21,1.81,0.21,0.07,0.21,0.91,0,0,146.5,0.75,1,9,2,14.5,1,1,104,0.552486187845304,0.115718799368088,104000,18000,190000
22,1980,90,182,72,23,7.13,1,0.05,0.29,0.68,0.2,0.05,0.18,0.87,0,0.09,126.7,0.78,2,15,0,8.14,0,0.89,122,1.47058823529412,0.063989898989899,550000,1e+05,1e+06
19,1669,87.8421052631579,184,75,21,7.03,1,0.05,0.2,0.99,0.22,0.05,0.32,0.88,0.37,0.05,136.9,0.8,5,20,0,5.77,0,0.89,126,1.01010101010101,0.082025164769323,2525000,450000,4600000
28,2551,91.1071428571429,174,64,24,7.09,1,0.04,0.4,0.12,0.36,0.07,0.35,0.8,0.11,0,82.9,0.71,0,25,0,0.85,0,0.86,106,8.33333333333333,0.0324970599764798,83000,16000,150000
16,1413,88.3125,188,83,22,7.08,2,0.13,0.67,1.3,0,0,0.25,0.96,0.37,0,162.2,0.89,3,3,2,11.21,1,0.85,117,1.53846153846154,0.114791224345364,2087500,375000,3800000
12,993,82.75,189,79,30,6.62,0,0,0,0.04,0,0,0.18,0.93,0,0,117.2,0.58,1,12,0,7.25,0,0.8,92,0,0.118026183282981,2500,500,4500
11,910,82.7272727272727,184,78,26,6.73,0,0,0.5,0.29,0.11,0,0.1,0.85,0,0,108.7,0.8,0,7,0,19.78,1,0.83,88,0,0.119450549450549,39000,18000,60000
11,899,81.7272727272727,183,73,30,6.74,0,0,0,0.65,0.25,0,0.4,0.91,0.5,0.2,112.3,0.73,1,17,0,10.91,1,0.9,93,0,0.124916573971079,232500,40000,425000
13,1170,90,186,72,25,6.97,0,0,0.2,0.73,0,0,0.08,0.93,0,0.08,141.4,0.74,1,7,0,14.23,2,0.86,114,0,0.120854700854701,522500,95000,950000
15,1220,81.3333333333333,197,83,23,6.61,0,0,0,0,0,0,0.07,0.54,0,0,77.6,0,0,3,0,0,0,0,109,0,0.0636065573770492,495000,90000,9e+05
11,1020,92.7272727272727,185,80,24,6.88,0,0,0.14,0.63,0.2,0.09,0.97,0.92,0.24,0.35,145.5,0.82,2,17,0,9.62,3,0.95,98,0,0.142647058823529,235000,45000,425000
11,773,70.2727272727273,173,63,25,7.2,0,0,0.33,0.57,1.79,0.35,1.86,0.89,0.54,0.47,105.6,0.59,1,10,1,5.12,0,0.71,99,0,0.136610608020699,275000,50000,5e+05
11,885,80.4545454545455,181,80,26,7.09,2,0.2,0.13,0.95,3.12,0,1.12,0.9,0.22,0.61,121,0.91,0,16,0,5.59,0,1,96,2.10526315789474,0.136723163841808,88000,16000,160000
11,1020,92.7272727272727,187,79,28,7.01,0,0,0,0,0,0,0.18,0.41,0,0,64.1,0,0,0,1,0,0,0,100,0,0.062843137254902,44000,8000,80000
15,1313,87.5333333333333,193,75,27,6.74,0,0,0,1.56,0.18,0,0.27,0.91,0,0.14,140.9,0.87,2,20,0,16.45,3,1,96,0,0.107311500380807,33000,6000,60000
13,1138,87.5384615384615,186,78,28,6.99,0,0,0,0,0,0,0.16,0.46,0,0,61.3,0,0,1,0,0,0,0,87,0,0.0538664323374341,54500,24000,85000
11,990,90,191,74,25,7.24,1,0.09,0.18,1.04,0.22,0,0.27,0.92,0,0,114.5,0.87,4,3,1,16.91,0,0.83,99,0.961538461538462,0.115656565656566,35500,6000,65000
12,1023,85.25,184,81,24,6.65,1,0.09,0.25,0.38,0,0,0,0.96,0,0,108.1,0.79,1,2,1,10.21,0,0.86,101,2.63157894736842,0.105669599217986,137500,65000,210000
11,952,86.5454545454545,181,79,29,7.24,2,0.19,0.33,0.55,0.34,0.09,1.89,0.91,0,0,129.6,0.66,1,27,1,5.29,3,0.89,98,3.63636363636364,0.136134453781513,307500,140000,475000
14,1260,90,183,74,31,6.83,0,0,0.2,0.34,0,0.07,0.29,0.82,0.5,0.21,56.4,0.82,0,19,1,1.57,0,0.84,96,0,0.0447619047619048,35500,6000,65000
11,961,87.3636363636364,190,82,27,7.11,2,0.19,0.25,1.31,2.11,0.19,1.59,0.89,0.53,0.28,127.3,0.78,1,27,1,6.27,1,0.6,93,1.52671755725191,0.132466181061394,325000,150000,5e+05
16,1390,86.875,176,83,23,6.72,1,0.06,0.67,0.29,0.37,0.13,1.29,0.91,0.36,0,186.5,0.6,0,29,0,2.78,0,0.76,123,3.44827586206897,0.134172661870504,660000,120000,1200000
20,1728,86.4,180,72,20,6.91,0,0,0,0.71,0.4,0.16,1.61,0.92,0.27,0.99,231,0.85,1,20,0,7.76,1,0.78,132,0,0.133680555555556,15250000,13500000,1.7e+07
21,1916,91.2380952380952,173,67,27,6.88,1,0.05,0.18,2.28,0.05,0.05,1.13,0.93,0.16,0.66,268,0.77,1,17,0,8.03,4,0.79,96,0.43859649122807,0.139874739039666,72000,14000,130000
13,1104,84.9230769230769,187,83,27,7.12,1,0.08,0.06,1.75,0.29,0,0.33,0.95,0.66,0.08,141.5,0.77,0,24,1,9.13,1,0.8,91,0.571428571428571,0.128170289855072,32500,0,65000
11,924,84,196,98,28,7.05,0,0,0,0,0,0,0.1,0.5,0,0,50,0,0,0,1,0,0,0,96,0,0.0541125541125541,14000,0,28000
12,1062,88.5,191,84,31,6.92,0,0,0.2,0.97,0,0,0.08,0.89,0,0.17,112.9,0.88,1,15,0,17.54,2,1,93,0,0.106308851224105,2000,500,3500
13,1221,93.9230769230769,193,79,26,6.81,0,0,0,0,0,0,0.29,0.5,0,0,87,0,0,0,1,0,0,0.4,118,0,0.0712530712530713,177500,30000,325000
13,1108,85.2307692307692,193,77,32,7.05,0,0,0,0,0,0,0.16,0.45,0,0,68.6,0,0,1,1,0,0,0,98,0,0.061913357400722,25000,0,50000
13,1170,90,180,64,29,6.68,0,0,0.25,1.65,0.5,0.08,0.54,0.92,0,0.15,162.7,0.61,0,22,1,4.69,0,0.63,107,0,0.139059829059829,27500,5000,50000
11,946,86,188,86,24,6.77,0,0,0.13,1.09,0,0,0,0.94,0,0.1,108.7,0.82,0,13,0,13.51,2,0.6,112,0,0.114904862579281,1e+06,6e+05,1400000
13,1187,91.3076923076923,185,82,26,6.86,0,0,0,0.08,0.55,0,0.23,0.91,0,0.08,139,0.78,3,16,0,15.09,1,0.8,95,0,0.117101937657961,13250,2500,24000
15,1263,84.2,187,78,33,7.24,0,0,0,0.24,0,0,0,0.73,0,0,10.5,0.94,0,17,0,1.14,0,0.95,97,0,0.00831353919239905,22000,4000,40000
16,1304,81.5,189,79,25,6.76,0,0,0,0,0,0,0.21,0.39,0,0,86.7,0,0,0,0,0,0,0,114,0,0.0664877300613497,49500,9000,90000
13,1117,85.9230769230769,184,74,22,7.04,0,0,0.18,1.11,0.19,0.24,1.13,0.93,0.6,0.64,144.9,0.58,0,19,1,6.2,1,0.53,96,0,0.129722470904208,180000,35000,325000
11,990,90,189,76,24,7.15,0,0,0.08,1.55,0.1,0.09,0.36,0.92,0,0,107.5,0.81,0,8,0,14.27,0,0.88,101,0,0.108585858585859,19250,3500,35000
15,1163,77.5333333333333,188,79,27,7.02,1,0.08,0.43,2.21,0.22,0.08,1.16,0.92,0,0.15,160.8,0.58,1,25,0,6.04,0,0.88,111,0.452488687782805,0.138263112639725,325000,150000,5e+05
15,1350,90,192,88,28,6.84,0,0,0,0,0,0,0.27,0.45,0,0,97.1,0,0,0,1,0,0,0.5,112,0,0.0719259259259259,66000,12000,120000
13,1200,92.3076923076923,174,70,21,7.23,0,0,0.24,2.71,0.08,0.15,0.75,0.95,0.28,1.5,172,0.86,2,22,3,9.15,2,0.76,121,0,0.143333333333333,3525000,650000,6400000
13,998,76.7692307692308,194,92,25,6.87,0,0,0.3,1.64,0,0,0,0.93,0,0.18,114.5,0.87,2,12,0,14.34,0,0.92,105,0,0.114729458917836,85000,40000,130000
11,886,80.5454545454545,192,86,24,7.05,0,0,0,0,0,0,0.2,0.54,0,0,54.9,0,0,0,1,0,0,0,109,0,0.0619638826185102,150500,26000,275000
11,818,74.3636363636364,188,80,31,7.12,0,0,0.29,0.73,0.78,0.22,2.09,0.93,0.38,0.22,105,0.75,0,13,1,6.93,1,0.44,99,0,0.128361858190709,13250,2500,24000
13,1200,92.3076923076923,188,76,25,6.58,0,0,0,0,0,0,0.07,0.44,0,0,70.8,0,0,1,0,0,0,0.5,96,0,0.059,4500,1000,8000
12,974,81.1666666666667,185,75,24,6.89,0,0,0,0.63,0,0,0.74,0.91,0.17,0.92,133.5,0.82,2,24,0,9.79,1,0.88,108,0,0.137063655030801,262500,50000,475000
15,1335,89,188,80,25,6.71,0,0,0.29,1.31,0.07,0,0.2,0.9,0,0.07,147.6,0.82,2,17,0,17.6,1,0.67,100,0,0.110561797752809,180000,35000,325000
13,1170,90,184,81,26,6.89,0,0,0,0.42,0.18,0,0.54,0.95,0,0.15,157.6,0.86,0,16,0,6.54,0,0.62,111,0,0.134700854700855,495000,90000,9e+05
11,990,90,188,75,25,6.98,0,0,0.2,1.22,0.1,0.09,0.18,0.93,0,0,114.9,0.84,0,12,0,17.73,1,0.89,98,0,0.116060606060606,165000,30000,3e+05
11,990,90,183,77,23,7.12,0,0,0.23,2.21,0,0.09,0.36,0.94,1,0,106.7,0.76,2,5,0,12.64,0,0.67,106,0,0.107777777777778,220000,40000,4e+05
16,1440,90,188,81,32,7.04,2,0.12,0.25,0.63,0,0.06,0.06,0.95,0,0,172.9,0.81,3,7,1,14.69,0,0.86,118,3.17460317460317,0.120069444444444,3525000,650000,6400000
34,2990,87.9411764705882,176,75,25,6.84,0,0,0,0.27,0.12,0.03,0.99,0.9,0.18,0.45,337,0.66,5,44,0,5.27,3,0.95,113,0,0.112709030100334,1155000,210000,2100000
11,927,84.2727272727273,178,71,21,7.22,1,0.1,0.11,0.24,0,0.1,0.29,0.8,0,0.19,38.9,0.38,1,20,0,1.55,0,0.7,90,4.16666666666667,0.0419633225458468,44000,8000,80000
12,888,74,178,70,30,7.05,1,0.1,0.21,1.51,0.62,0.41,1.82,0.9,0.4,0.2,128.2,0.72,0,6,1,3.65,1,0.92,101,0.662251655629139,0.144369369369369,77000,14000,140000
12,1080,90,190,75,25,7.04,0,0,0,0,0,0,0.08,0.5,0,0,79.2,0,0,0,0,0,0,0,102,0,0.0733333333333333,467500,85000,850000
13,1230,94.6153846153846,191,85,27,7.16,0,0,0,0,0,0,0.07,0.48,0,0,86.2,0,0,0,1,0,0,0,110,0,0.0700813008130081,132000,24000,240000
19,1726,90.8421052631579,189,80,31,6.93,1,0.05,0.2,0.22,0.1,0.1,0.42,0.86,0.2,0,123.2,0.85,1,22,0,3.55,0,0.88,93,4.54545454545455,0.0713789107763615,66000,12000,120000
11,889,80.8181818181818,180,70,19,6.62,0,0,0.36,0.98,0.1,0,1.32,0.87,0.17,2.53,131.6,0.31,0,11,0,6.88,4,0.78,100,0,0.148031496062992,1650000,3e+05,3e+06
13,918,70.6153846153846,179,79,28,6.85,1,0.1,0.33,0.73,1.2,0.2,1.27,0.86,0.36,0.29,118.1,0.75,0,16,0,3.92,1,0.93,98,1.36986301369863,0.128649237472767,192500,35000,350000
27,2437,90.2592592592592,182,84,36,6.6,0,0,0,0,0,0,0.11,0.56,0,0,79,0,0,0,1,0,0,0.33,107,0,0.0324169060320066,55000,0,110000
11,961,87.3636363636364,187,81,27,7.25,0,0,0.4,0.96,0.12,0,0.19,0.95,0,0.09,110.3,0.82,4,9,1,14.42,1,0.93,104,0,0.11477627471384,412500,75000,750000
26,2287,87.9615384615385,187,83,29,6.85,0,0,0,0,0,0,0.16,0.45,0,0,75.3,0,0,0,2,0,0,0,113,0,0.0329252295583734,357500,65000,650000
17,1560,91.7647058823529,184,78,28,7.01,0,0,0.28,2.87,0.23,0,0,0.94,0,0.23,175,0.74,3,24,0,13.96,0,0.84,124,0,0.112179487179487,3e+06,1800000,4200000
13,1145,88.0769230769231,173,71,24,6.9,1,0.08,0.25,0.61,0.17,0.08,0.94,0.89,0.21,0.47,147.4,0.76,1,17,0,7.07,7,0.83,110,1.63934426229508,0.128733624454148,715000,130000,1300000
11,794,72.1818181818182,175,74,28,7.36,1,0.11,0.4,0.19,0.23,0.34,0.57,0.86,0.66,0.11,41.7,0.73,0,14,0,1.25,1,0.69,117,5.26315789473684,0.0525188916876574,825000,150000,1500000
12,1009,84.0833333333333,175,73,21,6.86,1,0.09,0.42,2.56,1.24,0.09,1.43,0.88,0.4,0.09,137.6,0.57,0,12,1,3.12,2,0.76,110,0.390625,0.136372646184341,787500,375000,1200000
13,1170,90,186,82,26,7.45,2,0.15,0.67,0.42,0.23,0.54,1.38,0.9,0.37,0.15,145.2,0.78,0,26,0,5.54,0,0.85,97,4.76190476190476,0.124102564102564,935000,170000,1700000
21,1885,89.7619047619048,194,84,24,6.84,0,0,0.2,0.27,0,0.05,0.14,0.9,0,0.19,187.2,0.76,0,16,0,13.03,0,0.92,108,0,0.0993103448275862,1210000,220000,2200000
12,952,79.3333333333333,183,70,24,7.23,2,0.19,0.36,1.46,0,0,0.09,0.93,0,0,112.8,0.75,2,6,1,12.76,0,0.91,113,1.36986301369863,0.118487394957983,455000,210000,7e+05
16,1330,83.125,172,69,24,6.67,0,0,0,1.08,0,0.07,0.74,0.91,0.26,0.95,194.1,0.67,0,18,0,7.17,5,0.93,108,0,0.14593984962406,15001.5,30000,0
12,794,66.1666666666667,185,71,22,6.85,1,0.11,0.5,0.19,0.34,0,0.34,0.92,0.28,0.34,107.5,0.73,0,7,0,4.65,0,0.76,111,5.26315789473684,0.135390428211587,3525000,650000,6400000
44,3714,84.4090909090909,177,58,27,6.75,1,0.02,0.29,0.67,0.57,0.1,0.22,0.85,0.33,0.05,249.1,0.66,0,34,0,1.87,0,0.88,107,1.49253731343284,0.0670705438879914,6750,1500,12000
20,1566,78.3,180,73,30,7.24,0,0,0.24,1.86,2.64,0.52,3.45,0.85,0.25,0.17,237.5,0.71,1,10,1,4.02,0,0.67,116,0,0.151660280970626,990000,180000,1800000
13,1195,91.9230769230769,195,87,29,6.99,0,0,0,0,0,0,0,0.61,0,0,6.9,0,0,0,0,0,0,0,108,0,0.00577405857740586,20000,0,40000
11,990,90,180,68,18,6.97,0,0,0.2,0.04,0.22,0,0.18,0.84,1,0.09,111.4,0.85,1,6,0,15.91,1,0.56,89,0,0.112525252525253,880000,160000,1600000
16,1440,90,190,82,24,6.98,2,0.12,0.5,0.58,0,0,0.12,0.95,0,0,160.3,0.77,1,18,1,13.88,0,1,127,3.44827586206897,0.111319444444444,3250000,2e+06,4500000
16,1452,90.75,185,71,27,6.87,0,0,0,0.46,0.07,0,0.19,0.95,0,0.12,169.1,0.74,2,8,0,14.81,0,0.77,114,0,0.116460055096419,302500,55000,550000
11,855,77.7272727272727,187,78,26,7.11,0,0,0,0.3,0.13,0.32,1.79,0.9,0.25,0.11,121.1,0.84,1,6,0,7.37,1,0.95,95,0,0.141637426900585,307500,140000,475000
11,990,90,182,70,28,6.81,0,0,0,0,0,0,0.18,0.54,0,0,66.4,0,0,1,0,0,0,0,100,0,0.0670707070707071,99000,18000,180000
12,1080,90,178,64,30,6.82,0,0,0,0,0.1,0.08,1.42,0.86,0.37,0.17,142.2,0.76,3,14,0,6.5,2,0.93,100,0,0.131666666666667,275000,50000,5e+05
11,938,85.2727272727273,185,82,29,6.92,0,0,0,0,0,0,0.48,0.53,0,0,58.6,0,0,0,0,0,0,0,106,0,0.0624733475479744,83000,16000,150000
13,1017,78.2307692307692,192,85,24,7.54,0,0,0,0,0,0,0,0.55,0,0,25,0,0,0,1,0,0,0,118,0,0.0245821042281219,2850000,5e+05,5200000
11,990,90,175,69,18,7.18,0,0,0.17,0.31,0.27,0,1.55,0.92,0.44,0.36,135.2,0.65,0,10,2,4.73,1,0.83,95,0,0.136565656565657,1875000,350000,3400000
